timestamp,(0,34);(14,17);(25,24);(8,13);(8,22);(14,10);(14,11);(28,27);(28,29);(28,30);(2,3);(2,32);(5,4);(9,12);(23,15);(23,19);(23,20);(18,21);(6,7);(2,16);(25,26);(33,1);(33,31);(34,9);(9,18);(18,2);(2,5);(5,23);(23,25);(25,28);(28,14);(14,8);(8,6);(6,33);(33,34);(25,25.1);(8,8.1);(14,14.1);(28,28.1);(2,2.1);(5,5.1);(9,9.1);(23,23.1);(18,18.1);(6,6.1);(33,33.1);(34,34.1)
1772830688.7198033;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;420.34;1035.01;725.01;850.99;595.67;1222.01;675.68;449.34;240.00;594.01;658.68;658.68;1606.33;2134.01;529.34;1166.34;544.66;1076.34;684.67;289.33;470.00;384.67;480.00;561.66
1772830688.7210827;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;420.34;1035.01;725.01;850.99;595.67;1222.01;675.68;449.34;240.00;594.01;658.68;658.68;1606.33;2134.01;529.34;1166.34;544.66;1076.34;684.67;289.33;470.00;384.67;480.00;561.66
1772830705.610799;0.00;0.00;0.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;420.34;1035.01;725.01;850.99;595.67;1222.01;675.68;449.34;240.00;594.01;658.68;658.68;1606.33;2546.34;529.34;1166.34;544.66;1076.34;684.67;289.33;470.00;384.67;480.00;561.66
1772830705.6120827;0.00;0.00;0.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;420.34;1035.01;725.01;850.99;595.67;1222.01;675.68;449.34;240.00;594.01;658.68;658.68;1606.33;2546.34;529.34;1166.34;544.66;1076.34;684.67;289.33;470.00;384.67;480.00;561.66
1772830705.6415465;0.00;0.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;420.34;1035.01;725.01;850.99;595.67;1222.01;675.68;449.34;240.00;594.01;658.68;658.68;1606.33;2846.34;529.34;1166.34;544.66;1076.34;684.67;289.33;470.00;384.67;480.00;561.66
1772830705.6427934;0.00;0.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;420.34;1035.01;725.01;850.99;595.67;1222.01;675.68;449.34;240.00;594.01;658.68;658.68;1606.33;2846.34;529.34;1166.34;544.66;1076.34;684.67;289.33;470.00;384.67;480.00;561.66
1772830705.672249;0.00;0.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;420.34;1035.01;725.01;850.99;595.67;1222.01;675.68;449.34;240.00;594.01;658.68;658.68;1606.33;3146.34;529.34;1166.34;544.66;1076.34;684.67;289.33;470.00;384.67;480.00;561.66
1772830705.6735475;0.00;0.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;420.34;1035.01;725.01;850.99;595.67;1222.01;675.68;449.34;240.00;594.01;658.68;658.68;1606.33;3146.34;529.34;1166.34;544.66;1076.34;684.67;289.33;470.00;384.67;480.00;561.66
1772830705.7029014;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;420.34;1035.01;725.01;850.99;595.67;1222.01;675.68;449.34;480.00;594.01;658.68;658.68;1606.33;3146.34;829.34;1166.34;544.66;1076.34;684.67;289.33;470.00;384.67;480.00;561.66
1772830705.7041988;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;420.34;1035.01;725.01;850.99;595.67;1222.01;675.68;449.34;480.00;594.01;658.68;658.68;1606.33;3146.34;829.34;1166.34;544.66;1076.34;684.67;289.33;470.00;384.67;480.00;561.66
1772830705.7336264;0.00;0.00;0.00;485.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;420.34;1035.01;725.01;850.99;595.67;1222.01;675.68;449.34;577.00;594.01;658.68;658.68;1606.33;3146.34;1129.34;1166.34;544.66;1076.34;684.67;289.33;470.00;384.67;480.00;561.66
1772830705.734963;0.00;0.00;0.00;485.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;420.34;1035.01;725.01;850.99;595.67;1222.01;675.68;449.34;577.00;594.01;658.68;658.68;1606.33;3146.34;1129.34;1166.34;544.66;1076.34;684.67;289.33;470.00;384.67;480.00;561.66
1772830705.764422;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;420.34;1035.01;725.01;850.99;595.67;1222.01;675.68;449.34;674.00;594.01;658.68;658.68;1606.33;3146.34;1429.34;1166.34;544.66;1076.34;684.67;289.33;470.00;384.67;480.00;561.66
1772830705.7658043;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;420.34;1035.01;725.01;850.99;595.67;1222.01;675.68;449.34;674.00;594.01;658.68;658.68;1606.33;3146.34;1429.34;1166.34;544.66;1076.34;684.67;289.33;470.00;384.67;480.00;561.66
1772830723.7365918;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00;1164.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;420.34;1035.01;725.01;850.99;595.67;1366.68;675.68;449.34;674.00;594.01;658.68;658.68;1906.33;3146.34;1429.34;1166.34;544.66;1076.34;684.67;289.33;470.00;384.67;480.00;561.66
1772830723.7381232;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00;1164.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;420.34;1035.01;725.01;850.99;595.67;1366.68;675.68;449.34;674.00;594.01;658.68;658.68;1906.33;3146.34;1429.34;1166.34;544.66;1076.34;684.67;289.33;470.00;384.67;480.00;561.66
1772830723.767616;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;194.00;1164.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;420.34;1035.01;725.01;850.99;595.67;1431.35;675.68;449.34;674.00;594.01;658.68;658.68;2056.33;3146.34;1429.34;1166.34;544.66;1076.34;684.67;439.33;470.00;384.67;480.00;561.66
1772830723.7690756;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;194.00;1164.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;420.34;1035.01;725.01;850.99;595.67;1431.35;675.68;449.34;674.00;594.01;658.68;658.68;2056.33;3146.34;1429.34;1166.34;544.66;1076.34;684.67;439.33;470.00;384.67;480.00;561.66
1772830723.798572;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;291.00;1164.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;420.34;1035.01;725.01;850.99;595.67;1496.02;675.68;449.34;674.00;594.01;658.68;658.68;2206.33;3146.34;1429.34;1166.34;544.66;1076.34;684.67;589.33;470.00;384.67;480.00;561.66
1772830723.8000722;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;291.00;1164.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;420.34;1035.01;725.01;850.99;595.67;1496.02;675.68;449.34;674.00;594.01;658.68;658.68;2206.33;3146.34;1429.34;1166.34;544.66;1076.34;684.67;589.33;470.00;384.67;480.00;561.66
1772830723.8305583;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;1164.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;420.34;1035.01;725.01;850.99;595.67;1560.69;675.68;449.34;674.00;594.01;658.68;658.68;2356.33;3146.34;1429.34;1166.34;544.66;1076.34;684.67;739.33;470.00;384.67;480.00;561.66
1772830723.8320663;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;1164.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;420.34;1035.01;725.01;850.99;595.67;1560.69;675.68;449.34;674.00;594.01;658.68;658.68;2356.33;3146.34;1429.34;1166.34;544.66;1076.34;684.67;739.33;470.00;384.67;480.00;561.66
1772830723.862607;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;485.00;1164.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;420.34;1035.01;725.01;850.99;595.67;1625.36;675.68;449.34;674.00;594.01;658.68;658.68;2506.33;3146.34;1429.34;1166.34;544.66;1076.34;684.67;889.33;470.00;384.67;480.00;561.66
1772830723.8641255;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;485.00;1164.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;420.34;1035.01;725.01;850.99;595.67;1625.36;675.68;449.34;674.00;594.01;658.68;658.68;2506.33;3146.34;1429.34;1166.34;544.66;1076.34;684.67;889.33;470.00;384.67;480.00;561.66
1772830723.8945332;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;1164.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;420.34;1035.01;725.01;850.99;595.67;1690.03;835.68;449.34;674.00;594.01;658.68;658.68;2506.33;3146.34;1429.34;1316.34;544.66;1076.34;684.67;1039.33;470.00;384.67;480.00;561.66
