timestamp,(0,34);(14,17);(25,24);(8,13);(8,22);(14,10);(14,11);(28,27);(28,29);(28,30);(2,3);(2,32);(5,4);(9,12);(23,15);(23,19);(23,20);(18,21);(6,7);(2,16);(25,26);(33,1);(33,31);(34,9);(9,18);(18,2);(2,5);(5,23);(23,25);(25,28);(28,14);(14,8);(8,6);(6,33);(33,34);(25,25.1);(8,8.1);(14,14.1);(28,28.1);(2,2.1);(5,5.1);(9,9.1);(23,23.1);(18,18.1);(6,6.1);(33,33.1);(34,34.1)
1772827751.0540502;0.00;1164.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;97.00;0.00;0.00;0.00;2120.00;2060.00;2060.00;1440.00;582.00;0.00;0.00;0.00;2880.00;3680.00;3650.00;3620.00;0.00;3230.00;1760.00;0.00;940.00;2049.34;310.00;0.00;480.00;320.00;320.00;5860.00
1772827751.0556228;0.00;1164.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;97.00;0.00;0.00;0.00;2120.00;2060.00;2060.00;1440.00;582.00;0.00;0.00;0.00;2880.00;3680.00;3650.00;3620.00;0.00;3230.00;1760.00;0.00;940.00;2049.34;310.00;0.00;480.00;320.00;320.00;5860.00
1772827751.082406;0.00;1164.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;194.00;0.00;0.00;0.00;2420.00;2300.00;2300.00;1440.00;582.00;0.00;0.00;0.00;2880.00;3680.00;3650.00;3620.00;0.00;3230.00;1760.00;0.00;940.00;2049.34;790.00;0.00;480.00;320.00;320.00;6160.00
1772827751.0839527;0.00;1164.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;194.00;0.00;0.00;0.00;2420.00;2300.00;2300.00;1440.00;582.00;0.00;0.00;0.00;2880.00;3680.00;3650.00;3620.00;0.00;3230.00;1760.00;0.00;940.00;2049.34;790.00;0.00;480.00;320.00;320.00;6160.00
1772827751.110706;0.00;1164.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;291.00;0.00;0.00;0.00;2720.00;2540.00;2540.00;1440.00;582.00;0.00;0.00;0.00;2880.00;3680.00;3650.00;3620.00;0.00;3230.00;1760.00;0.00;940.00;2049.34;950.00;0.00;480.00;320.00;320.00;6460.00
1772827751.1123328;0.00;1164.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;291.00;0.00;0.00;0.00;2720.00;2540.00;2540.00;1440.00;582.00;0.00;0.00;0.00;2880.00;3680.00;3650.00;3620.00;0.00;3230.00;1760.00;0.00;940.00;2049.34;950.00;0.00;480.00;320.00;320.00;6460.00
1772827751.1392634;0.00;1164.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;3020.00;2780.00;2780.00;1440.00;582.00;0.00;0.00;0.00;2880.00;3680.00;3650.00;3620.00;0.00;3230.00;1760.00;0.00;940.00;2049.34;1110.00;0.00;480.00;320.00;320.00;6760.00
1772827751.140929;0.00;1164.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;3020.00;2780.00;2780.00;1440.00;582.00;0.00;0.00;0.00;2880.00;3680.00;3650.00;3620.00;0.00;3230.00;1760.00;0.00;940.00;2049.34;1110.00;0.00;480.00;320.00;320.00;6760.00
1772827751.1678166;0.00;1164.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;485.00;0.00;0.00;0.00;3320.00;3020.00;3020.00;1440.00;582.00;0.00;0.00;0.00;2880.00;3680.00;3650.00;3620.00;0.00;3230.00;1760.00;0.00;940.00;2049.34;1270.00;0.00;480.00;320.00;320.00;7060.00
1772827751.1695173;0.00;1164.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;485.00;0.00;0.00;0.00;3320.00;3020.00;3020.00;1440.00;582.00;0.00;0.00;0.00;2880.00;3680.00;3650.00;3620.00;0.00;3230.00;1760.00;0.00;940.00;2049.34;1270.00;0.00;480.00;320.00;320.00;7060.00
1772827751.1963003;0.00;1164.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;3620.00;3260.00;3260.00;1440.00;582.00;0.00;0.00;0.00;2880.00;3680.00;3650.00;3620.00;0.00;3230.00;1760.00;0.00;1164.67;2049.34;1430.00;0.00;480.00;320.00;320.00;7360.00
1772827751.1980474;0.00;1164.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;3620.00;3260.00;3260.00;1440.00;582.00;0.00;0.00;0.00;2880.00;3680.00;3650.00;3620.00;0.00;3230.00;1760.00;0.00;1164.67;2049.34;1430.00;0.00;480.00;320.00;320.00;7360.00
1772827771.084555;0.00;1164.00;0.00;0.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;4160.00;3260.00;3260.00;1440.00;582.00;0.00;0.00;0.00;2880.00;3920.00;3890.00;3860.00;0.00;3454.67;1760.00;0.00;1164.67;2049.34;1430.00;0.00;480.00;320.00;480.00;7660.00
1772827771.0863185;0.00;1164.00;0.00;0.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;4160.00;3260.00;3260.00;1440.00;582.00;0.00;0.00;0.00;2880.00;3920.00;3890.00;3860.00;0.00;3454.67;1760.00;0.00;1164.67;2049.34;1430.00;0.00;480.00;320.00;480.00;7660.00
1772827771.1082451;0.00;1164.00;0.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;4160.00;3260.00;3260.00;1440.00;582.00;0.00;0.00;0.00;3430.00;4220.00;4190.00;4160.00;0.00;3679.34;1920.00;0.00;1164.67;2049.34;1430.00;0.00;480.00;320.00;480.00;7960.00
1772827771.109453;0.00;1164.00;0.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;4160.00;3260.00;3260.00;1440.00;582.00;0.00;0.00;0.00;3430.00;4220.00;4190.00;4160.00;0.00;3679.34;1920.00;0.00;1164.67;2049.34;1430.00;0.00;480.00;320.00;480.00;7960.00
1772827771.1263206;0.00;1164.00;0.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;4160.00;3260.00;3260.00;1440.00;582.00;0.00;0.00;310.00;3757.00;4520.00;4490.00;4460.00;0.00;3679.34;2032.33;320.00;1164.67;2049.34;1430.00;0.00;480.00;320.00;480.00;8260.00
1772827771.127414;0.00;1164.00;0.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;4160.00;3260.00;3260.00;1440.00;582.00;0.00;0.00;310.00;3757.00;4520.00;4490.00;4460.00;0.00;3679.34;2032.33;320.00;1164.67;2049.34;1430.00;0.00;480.00;320.00;480.00;8260.00
1772827771.144053;0.00;1164.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;4160.00;3260.00;3260.00;1440.00;582.00;0.00;0.00;850.00;4201.67;4820.00;4790.00;4760.00;0.00;3679.34;2032.33;870.00;1164.67;2049.34;1430.00;0.00;480.00;320.00;480.00;8560.00
1772827771.1452427;0.00;1164.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;4160.00;3260.00;3260.00;1440.00;582.00;0.00;0.00;850.00;4201.67;4820.00;4790.00;4760.00;0.00;3679.34;2032.33;870.00;1164.67;2049.34;1430.00;0.00;480.00;320.00;480.00;8560.00
1772827771.1626422;0.00;1164.00;0.00;0.00;485.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;4160.00;3260.00;3260.00;1440.00;582.00;0.00;0.00;1390.00;4496.34;4970.00;4940.00;4910.00;0.00;3679.34;2182.33;1180.00;1164.67;2049.34;1430.00;0.00;480.00;320.00;480.00;8710.00
